sequence,valid_speed_count,excluded_pair_count,min_speed_px_s,max_speed_px_s,range_width_px_s,zero_speed_count,min_occurrences,max_occurrences,min_prev_filename,min_filename,max_prev_filename,max_filename
GAREUD_R_000058,1363,111,4.437,779.392,774.954,0,1,1,757.494493568.jpg,757.527838592.jpg,735.986689648.jpg,736.020034920.jpg
GAREUD_R_000059,3669,771,3.024,927.154,924.130,0,1,1,1320.654291160.jpg,1320.687636512.jpg,1345.630019624.jpg,1345.663365456.jpg
GAREUD_R_000060,3956,425,0.000,864.955,864.955,2,2,1,1634.200033432.jpg,1634.233378592.jpg,1731.268586080.jpg,1731.301931624.jpg
GAREUD_R_000061,4665,646,0.000,1410.797,1410.797,2,2,1,2552.738508328.jpg,2552.771853432.jpg,2512.557262592.jpg,2512.590608456.jpg
GAREUD_R_000062,3310,1075,0.000,1903.331,1903.331,1,1,1,3088.038246648.jpg,3088.071592568.jpg,3102.610200544.jpg,3102.643546624.jpg
GAREUD_R_000063,1885,0,0.000,699.878,699.878,1,1,1,3786.231115568.jpg,3786.264460648.jpg,3801.436632488.jpg,3801.469977352.jpg
GAREUD_R_000064,1187,888,0.000,1152.330,1152.330,2,2,1,4021.881879024.jpg,4021.915224408.jpg,4042.456010408.jpg,4042.489355512.jpg
GAREUD_R_000065,2479,291,0.000,1501.563,1501.563,4,4,1,4171.807782864.jpg,4171.841128328.jpg,4188.713916568.jpg,4188.747262056.jpg
GAREUD_R_000066,3463,201,0.000,1164.587,1164.587,1,1,1,4918.625313624.jpg,4918.658658784.jpg,4900.018562760.jpg,4900.051907672.jpg
GAREUD_R_000067,1194,668,12.338,2274.353,2262.015,0,1,1,5163.875364352.jpg,5163.908709728.jpg,5161.707911240.jpg,5161.741256760.jpg
GAREUD_R_000068,4402,534,0.000,766.315,766.315,3,3,1,189.579071456.jpg,189.612417000.jpg,207.652295512.jpg,207.685641080.jpg
GAREUD_R_000069,5767,1776,0.000,1056.021,1056.021,3,3,1,608.416551352.jpg,608.449896568.jpg,797.851950568.jpg,797.885296000.jpg
GAREUD_R_000070,1605,261,0.000,1604.933,1604.933,1,1,1,1174.331660408.jpg,1174.365005352.jpg,1162.894176512.jpg,1162.927521840.jpg
GAREUD_R_000071,4685,2914,4.234,1596.547,1592.313,0,1,1,427.434696488.jpg,427.468042136.jpg,302.122563056.jpg,302.155908432.jpg
GAREUD_R_000072,2158,594,0.000,1047.775,1047.775,1,1,1,731.553893624.jpg,731.587239056.jpg,786.473820112.jpg,786.507165944.jpg
